COMID,totco2g_m2_day_fill
23100468,0.090552469
23100470,0.028361648
23100472,0.020632236
23100474,0.020560203
23100476,0.022832889
23100478,0.012672584
23100480,0.024851274
23100482,0.017708781
23100484,0.012367494
23100486,0.004774718
23100488,0.012843953
23100490,0.223153248
23100492,0.248815268
23100494,2.967634963
23100496,4.148655425
23100498,0.741489409
23100500,0.499483249
23100502,2.03131583
23100504,2.447651625
23100506,5.895270373
23100508,3.555472038
23100510,2.113850987
23100512,4.059515803
23100514,35.46439348
23100516,13.63544588
23100518,39.45659316
23100520,13.52014087
23100522,5.733995362
23100524,2.09192614
23100526,42.56853099
23100528,2.91181512
23100530,19.76286125
23100532,99.60944366
23100534,0.186024394
23100536,0.016973178
23100538,0.036872851
23100540,0.045345891
23100542,0.68778336
23100544,0.061512532
23100546,0.017206421
23100548,0.054347848
23100550,0.043461387
23100552,0.015651898
23100554,0.070871795
23100556,0.030626893
23100558,0.03844788
23100560,0.039051788
23100562,0.035458168
23100564,0.013679484
23100566,0.005869075
23100568,0.016597815
23100570,0.004920604
23100572,2.941467436
23100574,1.096202013
23100576,2.190697122
23100578,0.979562429
23100580,0.919759035
23100582,11.52890798
23100584,2.18947348
23100586,5.751449976
23100588,8.228604064
23100590,3.923315908
23100592,0.01437218
23100594,0.004474267
23100596,0.086512373
23100600,1.295426662
23100602,0.464680973
23100604,1.783850429
23100606,0.341893578
23100608,2.990872303
23100610,2.62921425
23100612,1.523486367
23100614,1.78617707
23100620,0.011327993
23100622,0.452049285
23100624,0.092653007
23100626,103.7953644
23100628,0.449881107
23100630,0
23100632,0.053657761
23100634,0.012508571
23100640,0.002873498
23100642,0.024103826
23100654,0.417979553
23100656,0.258792191
23100660,0.093793323
23100662,0.84985739
23100664,1.245985627
23100670,0.011732312
23100672,0.123949343
23100676,0.006042074
23100678,0.374306589
23100680,0.35507378
23100682,0.544567865
23100684,0.461427518
23100686,0
23100688,0
23100690,0.084180936
23100692,0.001210138
23100694,0.095113195
23100696,0.00187181
23100698,0.029112035
23100700,0.00157358
23100704,1.193499261
23100706,30.96425307
23100708,0.250323653
23100710,0.406378715
23100712,0.095004708
23100714,0.005357328
23100716,0.081767398
23100718,0.009604368
23100720,0.161350492
23100722,0.066038445
23100724,0.851019076
23100726,2.684618158
23100728,0.032747252
23100730,0.013284598
23100732,0.224191723
23100734,0.070750286
23100738,0.120236171
23100740,2.362344755
23100742,0.073470585
23100744,0.003899595
23100746,4.935093797
23100748,0.301844913
23100750,8.163136628
23100756,0.008061502
23100758,0.033574741
23100760,6.887937172
23100762,0
23100764,0.07573134
23100766,0.021609438
23100768,0.459682823
23100770,0.488723232
23100772,0.003767013
23100774,0.001611229
23100776,1.13837719
23100778,0.0155412
23100780,5.261387089
23100782,6.125132561
23100784,1.952114716
23100786,0.005854232
23100788,0.005450795
23100792,4.885183841
23100794,0.574935062
23100796,0.776606491
23100798,0.003910633
23100800,0.399545014
23100802,0.001303082
23100804,0.001187341
23100806,1.076367176
23100808,0.003346556
23100810,0.001521687
23100812,0.002287113
23100814,0.011223626
23100816,0
23100818,2.667300189
23100820,0.000482198
23100822,0.001560072
23100824,3.773457419
23100826,8.188446169
23100828,0.347397657
23100830,0.006245006
23100832,0.805333871
23100834,24.49462932
23100836,0.003940033
23100840,117.6981354
23100842,1.575837062
23100844,9.412803375
23100846,0.359191134
23100848,0.315061301
23100850,0.302532401
23100852,1.414783835
23100854,0.153090149
23100856,1.135916471
23100858,0
23100860,0.5126158
23100862,0.001789873
23100866,0.001081205
23100868,0.002217845
23100870,0.141255796
23100872,1.111544823
23100874,0.008879829
23100876,4.187572002
23100878,0.599727713
23100880,0.00056912
23100882,0.769032839
23100888,0.014465914
23100892,2.527745561
23100894,2.934500477
23100896,0.855309435
23100900,3.391900172
23100902,0.053298194
23100904,0.00064239
23100906,21.19888115
23100908,1.567210633
23100910,2.614732661
23100912,0.019263408
23100914,102.2254868
23100916,0
23100918,2.154043752
23100920,0.006728924
23100922,5.263659497
23100926,0.007155542
23100928,0.001273459
23100930,7.712366008
23100932,3.433702197
23100934,0.000993542
23100936,0.013343348
23100938,5.93859121
23100940,0
23100942,0.015429282
23100944,3.929553433
23100946,0.005396975
23100948,0.003791423
23100950,117.8078003
23100954,0.25291118
23100956,0.004707001
23100958,0.071690297
23100960,0.262666553
23100962,9.025302377
23100964,0.009205043
23100966,0.00215998
23100968,6.374515984
23100970,96.09243774
23100972,0.027884978
23100974,0
23100976,0
23100978,0.00370667
23100980,0.004138325
23100982,0.001707459
23100984,135.278717
23100986,0.002862141
23100988,0.001628809
23100990,0
23100992,0.004071259
23100994,0.004049613
23100996,0.006366747
23101000,1.949993886
23101002,0.005030799
23101004,0.002785487
23101006,0.001627314
23101008,0.33965322
23101010,0.078307939
23101012,0.163707674
23101016,2.656227374
23101018,0.005330206
23101020,0.002090524
23101022,0.000976242
23101024,0.018853369
23101026,0.006458523
23101028,0.001840568
23101030,0.002947024
23101032,0.011159704
23101034,0.000473409
23101036,0.001543093
23101038,0.446608242
23101040,6.348165512
23101042,6.152719498
23101044,0.000934892
23101046,1.714506089
23101048,0.002531339
23101050,0.002613114
23101052,0.01031492
23101054,0.010819764
23101056,0.591881581
23101058,0.001933732
23101060,0.203716679
23101062,0.003915502
23101064,0.001930024
23101068,0.003260177
23101070,1.469583988
23101072,0.002368877
23101074,0.002636804
23101076,0.001831459
23101078,0.005476499
23101082,0.000401882
23101084,0.000488445
23101086,0.352337429
23101088,0.010893693
23101090,0.008575062
23101092,26.47883967
23101100,137.9449158
23101102,8.278374684
23101104,0.002529801
23101106,0.097929694
