COMID,totco2g_day_fill
23753292,12907.75276
23753294,22972.48973
23753296,2778.479248
23753298,8100.831602
23753300,137527.08
23753302,22056.87567
23753304,13656.45229
23753306,125734.1484
23753308,422471.4222
23753310,12208.13086
23753312,55837.59107
23753314,37153.70129
23753316,419583.3125
23753318,83040.19134
23753320,144395.6301
23753322,35347.50288
23753324,237801.1406
23753326,44927.74167
23753328,19065.69247
23753330,30016.25984
23753332,86611.09759
23753334,32038.26358
23753336,11345.82266
23753338,38031.07068
23753340,51099.61307
23753342,22522.76967
23753344,23456.57236
23753346,35515.06175
23753348,18935.9811
23753350,54107.6594
23753352,11191.8392
23753354,10507.38535
23753356,226112.8906
23753358,258310.5938
23753360,12806.60378
23753362,170736.4356
23753364,22695.6969
23753366,75502.30685
23753368,82357.70671
23753370,32824.46468
23753372,18657.948
23753374,12746.65707
23753376,49525.7449
23753378,14386.1611
23753380,19618.97792
23753382,13142.28367
23753384,39761.09361
23753386,22099.96659
23753388,70073.70608
23753390,93984.88192
23753392,47766.52545
23753394,196174.9496
23753396,106054.9833
23753398,31905.05416
23753400,136358.5233
23753402,6896.927175
23753404,52288.41224
23753406,10283.75178
23753408,16811.93988
23753410,0
23753412,70600.97285
23753414,13849.41182
23753416,112630.593
23753418,204063.3699
23753420,91000.79079
23753422,23997.03263
23753424,27220.98953
23753426,69606.89449
23753428,11904.09879
23753430,56886.31619
23753432,54959.69922
23753434,54566.46945
23753436,42592.73458
23753438,1248.554795
23753440,109262.8766
23753442,13893.64677
23753444,29214.82987
23753446,90389.61132
23753448,66693.52344
23753450,55523.8629
23753452,33033.54329
23753454,53838.56425
23753456,34193.33594
23753458,999065.5
23753460,130064.4657
23753462,0
23753464,30426.76968
23753466,24092.62389
23753468,129465.5859
23753470,23047.8313
23753472,22634.2583
23753474,102794.7795
23753476,42490.14477
23753478,42492.06781
23753480,168973.7969
23753482,22532.14948
23753484,24067.53953
23753486,14438.77165
23753488,31230.0337
23753490,248433.4219
23753492,0
23753494,215982.7031
23753496,39658.72603
23753498,21702.79726
23753500,50491.99249
23753502,13705.96948
23753504,13707.12641
23753506,39576.11285
23753508,62095.30866
23753510,24570.13784
23753512,29262.33951
23753514,17708.53422
23753516,10914.82362
23753518,23970.25085
23753520,44300.2666
23753522,0
23753524,57515.13197
23753526,25012.24858
23753528,17310.77691
23753530,10885.16028
23753532,27020.57813
23753534,28784.42195
23753536,14799.44137
23753538,13922.33933
23753540,27530.09696
23753542,6105.348439
23753544,64565.95521
23753546,52865.83617
23753548,18693.68145
23753550,22382.13488
23753552,35813.26172
23753554,33139.14452
23753556,18039.74326
23753558,84896.16406
23753560,12549.28963
23753562,70061.10156
23753564,7457.1856
23753566,32707.81739
23753568,150435.2878
23753570,9633.196307
23753572,18179.09108
23753574,11842.87783
23753576,4271.776595
23753578,50942.29808
23753580,19715.76459
23753582,13524.11969
23753584,1946.391845
23753586,9852.660592
23753588,37980.8626
23753590,16003.73926
23753592,180762.2031
23753594,72255.48904
23753596,47507.13797
23753598,21038.42019
23753600,18888.79989
23753602,10547.09588
23753604,26373.30806
23753606,19512.55254
23753608,12716.35536
23753610,17948.53915
23753612,23551.67091
23753614,29438.91713
23753616,51756.7473
23753618,16248.83129
23753620,44423.74502
23753622,139848.7898
23753624,37462.58458
23753626,27714.91978
23753628,230225.4375
23753630,10259.77655
23753632,45641.24975
23753634,12052.6552
23753636,19748.86207
23753638,127849.4965
23753640,15765.53857
23753642,34108.17933
23753644,33202.56478
23753646,18743.02
23753648,12676.848
23753650,17864.53636
23753652,18269.6506
23753654,11244.41941
23753656,18885.67851
23753658,67882.29323
23753660,88403.29627
23753662,105521.4787
23753664,1176289.875
23753666,16219.53781
23753668,18666.52677
23753670,282285.9337
23753672,146190.9485
23753674,50635.95144
23753676,19261.90285
23753678,29773.63692
23753680,28718.25204
23753682,33782.61597
23753684,14725.49298
23753686,35406.61381
23753688,13213.71256
23753690,16398.50437
23753692,10360.17682
23753694,94916.32693
23753696,19458.10625
23753698,7637.0239
23753700,21246.91438
23753702,79226.54049
23753704,29861.92119
23753706,7853.970304
23753708,114693.9812
23753710,52855.44769
23753712,131878.0675
23753714,180008.0556
23753716,45370.54303
23753718,159116.5849
23753720,135533.5853
23753722,303013.2813
23753724,78487.8766
23753726,202963.1211
23753728,35681.07666
23753730,44084.44405
23753732,81427.27588
23753734,10824.82759
23753736,21765.92268
23753738,25012.90673
23753740,27361.77825
23753742,169392.4063
23753744,10104.35514
23753746,209672.8792
23753748,258432.9685
23753750,242495.0753
23753752,10557.22719
23753754,34860.32868
23753756,35905.60305
23753758,0
23753760,92418.81534
23753762,68039.89373
23753764,14845.37353
23753766,215207.2031
23753768,13406.07193
23753770,35342.13228
23753772,8371.149526
23753774,73910.34822
23753776,156522.5781
23753778,5303.701287
23753780,6946.584929
23753782,59385.00755
23753784,67648.85975
23753786,12713.96195
23753788,38656.51706
23753790,26410.49956
23753792,32911.71542
23753794,19489.12676
23753796,22504.22263
23753798,10021.02633
23753800,24362.79643
23753802,84905.60029
23753804,62467.56735
23753806,19215.35605
23753808,29730.62313
23753810,105326.6735
23753812,31480.26226
23753814,23423.30319
23753816,15184.34178
23753818,23454.81608
23753820,8015.011684
23753822,11186.44188
23753824,44298.93863
23753826,15940.61386
23753828,8936.243804
23753830,38831.27051
23753832,15476.34664
23753834,17069.74973
23753836,27992.67733
23753838,23382.74883
23753840,147194.9919
23753842,278906.6702
23753844,183014.7962
23753846,310067.2521
23753848,15011.43598
23753850,54950.72285
23753852,41485.30078
23753854,34269.32751
23753856,33080.86797
23753858,25269.0314
23753860,16058.51431
23753862,18751.17188
23753864,101409.4717
23753866,24420.8294
23753868,130868.392
23753870,55673.59455
23753872,31230.65527
23753874,32786.77585
23753876,82378.06765
23753878,28490.17764
23753880,86909.84619
23753882,16680.50712
23753884,148292.5738
23753886,34170.48438
23753888,42970.4363
23753890,122486.8695
23753892,19425.74511
23753894,121721.9698
23753896,24393.82813
23753898,46658.64362
23753900,40105.61285
23753902,22798.08154
23753904,73640.13951
23753906,0
23753910,41817.48945
23753912,141428.7552
23753914,1108.231742
23753916,36345.04052
23753918,39931.54529
23753920,58532.60836
23753922,0
23753924,31023.99699
23753926,32081.07953
23753928,130961.1517
23753930,42580.55931
23753932,21972.66279
23753934,23430.40526
23753936,213280.6017
23753938,906129.5125
23753940,662164.7929
23753942,55307.30859
23753946,137367.3018
23753948,122482.5519
23753950,46479.44985
23753952,458.8613166
23753954,74334.58594
23753956,10214.01069
23753960,2746.052712
23753962,1364231
23753966,601403.9375
23753968,90.7270246
23753970,1168.102479
23753976,1941205.375
23753978,95172.81468
23753980,1059868.125
23753982,9757226
23753984,16003181
23753986,3072948.75
23753988,14529663
23753998,26093272
23754002,441333.625
23754012,0
23754014,620027.4375
23754016,620027.4375
23754018,5933362.5
23754024,0
23754026,0
23754028,2070680.25
23754032,5969.320438
23754034,240980.4219
23754036,10307.59668
23754042,3386112.25
23754044,2733893.75
23754050,2515260
23759222,5105767.068
23759226,28643998.85
23759228,19521040.67
23759230,14244840.58
23759232,7162355.696
23759234,18951.23942
23759236,71439.43923
23759238,12971.64718
23759240,5863.858225
23759242,33176.50907
23759244,4038.504945
23759246,14389.16532
23759248,77185.6791
23759250,111141.8795
23759252,415120.6192
23759256,34971.92701
23759258,13392111.07
23759260,8234833.018
23759262,4512848.675
23759264,39216294.39
23759266,1726961.39
23759268,15075119.69
23759270,33868231.55
23759272,33354.94141
23759274,1054.864702
23759276,6108528.145
23759278,11777703.16
23759280,4621394.556
23759282,6626233.5
23759284,9354957.958
23759286,30882.44581
23759288,805636.6875
23759290,5308226.277
23759292,706976.6017
23759294,4019811.012
23759296,4747952.392
23759298,35858.50027
23759300,261316.0521
23759302,611894.7965
23759304,188561.7621
23759306,2971756.03
23759308,2332730.99
23759310,3686747.157
23759312,2515075
23759314,1468019.75
23759316,909434.1875
23759318,1146792.375
23759320,812649.8125
23759322,101669.5396
23759324,126586.1514
23759326,715903.0978
23759328,2611296.048
23759330,2670780.914
23759332,1828564.375
23759334,2619743.411
23759336,1050088.223
23759338,2670851.934
23759340,2105290.468
23759342,1152930.625
23759344,808407.2655
23759346,50360.21875
23759348,77174.40278
23759350,102318.7769
23759352,37440.87595
23759354,1526115.653
23759356,682154.0544
23759358,316460.0513
23759360,588313.8217
23759362,436030.7201
23759364,240457.8979
23759366,144507.7252
23759368,5408909.5
23759370,21447694.62
23759372,11348474.19
23759374,961231.5419
23759376,3071448.814
23759378,3112277.556
23759380,2386817.5
23759382,2661598.405
23759384,1455177.148
23759386,1228310.339
23759388,572012.7538
23759390,1298814.488
23759392,1329057.871
23759394,1022780.346
23759396,205317.4983
23759398,1071720.198
23759400,618274.5
23759402,918904.3859
23759404,888855.2878
23759406,1042907.16
23759408,499414.0313
23759410,733229.9463
23759412,832595.9124
23759414,633694.6002
23759416,574045.9032
23759418,441037.4127
23759420,201627.2838
23759422,203970.684
23759424,405179.4993
23759426,277268.2559
23759428,312094.1085
23759430,120409.0765
23759432,211798.1467
23759434,107812.5419
23759436,86964.4809
23759438,69871.24948
23759440,14313046.88
23759442,9385530.945
23759444,3148173.253
23759446,4660796.5
23759448,818953.5921
23759450,6239567.324
23759452,7797565.5
23759454,8106730.778
23759456,7777660.091
23759458,7595429.5
23759460,1451988.812
23759462,1137936.16
23759464,992409.6665
23759466,1369964.794
23759468,1320119.303
23759470,1191049.5
23759472,1153651.571
23759474,1238670.817
23759476,1216454.825
23759478,662630.3125
23759480,1136061.88
23759482,973007.6467
23759484,955182.208
23759486,1166543.803
23759488,569881.5485
23759490,359186.9485
23759492,4793.895525
23759494,193742.8537
23759496,97610.37263
23759498,38074.2189
23759500,552572.4016
23759502,458094.0328
23759504,211796.4288
23759506,94688.57384
23759508,62036.55452
23759510,5397166.586
23759512,3150780.026
23759514,2073867.875
23759516,1815604.415
23759518,2162448.852
23759520,1227128.723
23759522,1080417.449
23759524,1338481.664
23759526,963511.6204
23759528,1181615.009
23759530,1239412.07
23759532,1142874.222
23759534,471683.0313
23759536,529921.6875
23759538,992799.3544
23759540,791692.1981
23759542,556694.1768
23759544,354777.1344
23759546,285297.8393
23759548,112494.264
23759550,79822.25721
23759552,29914.08536
23759554,2439944.277
23759556,1565523.107
23759558,1761031.726
23759560,231983.7819
23759562,269741.243
23759564,1417802.568
23759566,951258.1308
23759568,770372.1611
23759570,800499.0584
23759572,241718.2839
23759574,528293.1701
23759576,587134.1713
23759578,446261.7288
23759580,283254.6948
23759582,220881.9512
23759584,72918.36775
23759586,242821.8468
23759588,9291103.664
23759590,5575294.5
23759592,6476924
23759594,3988348.5
23759596,4631754.5
23759598,6076316.499
23759600,4145090.5
23759602,363475.7188
23759604,75272.34385
23759606,112330.4249
23759608,51764.96921
23759610,52565.53222
23759612,11064.37224
23759614,62945.03179
23759616,0
23759618,109743.7392
23759620,65439.53308
23759622,48027.75411
23759624,210253.7344
23759626,280525.0208
23759628,163932.1077
23759630,127064.8841
23759632,44547.42675
23759634,34251.28145
23759636,227911.0438
23759638,52025.95784
23759640,76199.69589
23759642,590.0502902
23759644,604185.0411
23759646,82455.99648
23759648,58017.13792
23759650,46063.17436
23759656,164569.9219
23759658,26880.27616
23759660,192265.463
23759662,91158.07315
23759664,60137.80841
23759666,200375.1956
23759668,191644.1412
23759670,421508.3089
23759672,255325.0494
23759674,187128.8801
23759676,153585.6403
23759678,119422.982
23759680,78666.5977
23759682,127329.0803
23759684,97025.46049
23759686,20580.88477
23759688,95461.3523
23759690,12960.99848
23759692,63650.3986
23759694,60472.96356
23759696,29765.30795
23759698,82968.47811
23759700,89393.72844
23759702,34426.0126
23759704,70943.33589
23759706,36262.47088
23759708,68392.20747
23759710,43002.63883
23759712,511695.875
23759714,285648.7644
23759716,60038.52813
23759718,488931.4688
23759720,1315.537874
23759722,82718.34375
23759724,39084.45699
23759726,39083.89151
23759728,21346.25112
23759730,40229.82986
23759732,897.8116849
23759734,109.0891899
23759736,391.3147397
23759738,62426.20274
23759740,39814.13425
23759742,2356.293699
23759744,24722.41784
23759746,38040.00164
23759748,51550.47123
23759750,53039.65068
23759752,60255.09041
23759754,21934.06027
23759756,45746.44603
