"comid","tocomid","TOT_NLCD01_11","TOT_NLCD01_12","TOT_NLCD01_21","TOT_NLCD01_22","TOT_NLCD01_23","TOT_NLCD01_24","TOT_NLCD01_31","TOT_NLCD01_41","TOT_NLCD01_42","TOT_NLCD01_43","TOT_NLCD01_52","TOT_NLCD01_71","TOT_NLCD01_81","TOT_NLCD01_82","TOT_NLCD01_90","TOT_NLCD01_95","TOT_NODATA"
23099638,23099636,0,0,1.26,0.02,0,0,0,0,0,0,49.74,15.36,0,33.62,0,0,NA
23099640,23099638,0,0,1.4,0.02,0,0,0,0,0,0,46.45,14.7,0,37.43,0,0,NA
23099642,23099640,0,0,1.67,0.03,0,0,0,0,0,0,43.8,10,0,44.51,0,0,NA
23099644,23099642,0,0,1.8,0.03,0,0,0,0,0,0,41.32,8.67,0,48.17,0,0,NA
23099646,23099644,0,0,1.83,0.03,0,0,0,0,0,0,40.98,8.26,0,48.91,0,0,NA
23099648,23099646,0,0,1.85,0.03,0,0,0,0,0,0,40.65,8.19,0,49.29,0,0,NA
23099650,23099648,0,0,1.88,0.03,0,0,0,0,0,0,39.78,8.07,0,50.24,0,0,NA
23099652,23099650,0,0,1.62,0.06,0,0,0,0,0,0,26.52,0.88,0,70.93,0,0,NA
23099654,23099652,0,0,2.31,0,0,0,0,0,0,0,1.54,0,0,96.15,0,0,NA
23099656,23099608,0.58,0.05,2.47,1.86,0.6,0.13,0.81,0.09,33.62,0.03,39.05,5,3.15,10.84,1.17,0.54,NA
23099658,23099656,0.58,0.05,2.43,1.84,0.6,0.13,0.81,0.1,33.73,0.03,39.07,5.01,3.14,10.77,1.17,0.54,NA
23099660,23099658,0.58,0.05,2.43,1.84,0.6,0.13,0.81,0.1,33.73,0.03,39.07,5.01,3.14,10.77,1.17,0.54,NA
23099662,23099660,0.58,0.05,2.43,1.84,0.6,0.13,0.81,0.1,33.73,0.03,39.07,5.01,3.14,10.77,1.17,0.54,NA
23099664,23099662,0.58,0.05,2.42,1.84,0.6,0.13,0.81,0.1,33.77,0.03,39.11,5.01,3.13,10.72,1.18,0.54,NA
23099666,23099664,0.57,0.05,2.36,1.82,0.59,0.13,0.82,0.1,33.89,0.03,39.12,5.02,3.13,10.64,1.18,0.54,NA
23099668,23099666,0.57,0.05,2.34,1.82,0.59,0.13,0.82,0.1,34.02,0.03,39.12,5.03,3.14,10.51,1.18,0.54,NA
23099670,23099668,0.56,0.05,2.34,1.82,0.59,0.13,0.82,0.1,34.03,0.03,39.12,5.03,3.14,10.51,1.18,0.54,NA
23099672,23099670,0.56,0.05,2.34,1.82,0.59,0.13,0.82,0.1,34.03,0.03,39.12,5.03,3.14,10.5,1.18,0.54,NA
23099674,23099672,0.56,0.05,2.32,1.82,0.59,0.13,0.82,0.1,34.06,0.03,39.15,5.04,3.15,10.47,1.18,0.54,NA
23099676,23099674,0.56,0.05,2.32,1.82,0.59,0.13,0.82,0.1,34.06,0.03,39.15,5.04,3.15,10.46,1.18,0.54,NA
23099678,23099676,0.56,0.05,2.3,1.8,0.59,0.13,0.82,0.1,34.13,0.03,39.21,5.04,3.14,10.38,1.19,0.54,NA
23099680,23099678,0.56,0.05,2.28,1.78,0.59,0.13,0.83,0.1,34.33,0.03,39.3,5.06,3.15,10.09,1.18,0.54,NA
